mdb,partei,link
https://www.bundestag.de/abgeordnete/biografien/A/annen_niels-857106, SPD,"[{'title': 'homepage', 'url': 'https://www.nielsannen.de'}, {'title': 'facebook', 'url': 'https://www.facebook.com/nielsannen'}, {'title': 'twitter', 'url': 'https://twitter.com/NielsAnnen'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/nielsannen/'}]"
https://www.bundestag.de/abgeordnete/biografien/A/arlt_johannes-860828, SPD,"[{'title': 'homepage', 'url': 'https://johannesarlt-mv.de/'}, {'title': 'twitter', 'url': 'http://twitter.com/arlt_johannes'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/johannes_arlt/?hl=de'}, {'title': 'facebook', 'url': 'https://www.facebook.com/arltjohannes'}, {'title': 'linkedin', 'url': 'https://www.linkedin.com/in/johannes-arlt-bjerreh%C3%B8j-13a05713'}]"
https://www.bundestag.de/abgeordnete/biografien/A/aschenberg_dugnus_christine-857094, FDP,"[{'title': 'homepage', 'url': 'https://caschenbergdugnus.abgeordnete.fdpbt.de/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/AschenbergDugnusMdB/'}, {'title': 'twitter', 'url': 'https://twitter.com/cad59?lang=de'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/aschenbergdugnus/?hl=de'}]"
https://www.bundestag.de/abgeordnete/biografien/A/audretsch_andreas-860496, Bündnis 90/Die Grünen,"[{'title': 'homepage', 'url': 'https://www.andreasaudretsch.de'}, {'title': 'facebook', 'url': 'http://facebook.com/andreas.audretsch'}, {'title': 'twitter', 'url': 'https://twitter.com/anaudretsch'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/andreasaudretsch'}]"
https://www.bundestag.de/abgeordnete/biografien/A/auernhammer_artur-857084, CDU/CSU,"[{'title': 'homepage', 'url': 'https://www.artur-auernhammer.de/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/AuernhammerMdB/'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/arturauernhammer/'}]"
https://www.bundestag.de/abgeordnete/biografien/A/aumer_peter-857090, CDU/CSU,"[{'title': 'homepage', 'url': 'http://www.peter-aumer.de/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/PeAumer/'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/pete_aum'}]"
https://www.bundestag.de/abgeordnete/biografien/A/aussendorf_maik-860932, Bündnis 90/Die Grünen,"[{'title': 'homepage', 'url': 'https://maik-aussendorf.de/'}, {'title': 'twitter', 'url': 'https://twitter.com/maik_aussendorf'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/maikaussendorf/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/Maik-Auendorf-108607258028382'}, {'title': 'linkedin', 'url': 'https://www.linkedin.com/in/maik-au%C3%9Fendorf-208a495b'}, {'title': 'Xing', 'url': 'https://www.xing.com/profile/Maik_Aussendorf'}, {'title': 'sonstige Website', 'url': 'https://gruene.social/web/accounts/56127'}]"
https://www.bundestag.de/abgeordnete/biografien/B/bacherle_tobias-860138, Bündnis 90/Die Grünen,"[{'title': 'homepage', 'url': 'https://tbbacherle.eu'}, {'title': 'facebook', 'url': 'https://facebook.com/tbbacherle'}, {'title': 'twitter', 'url': 'https://twitter.com/tbbacherle'}, {'title': 'linkedin', 'url': 'https://www.linkedin.com/in/tobias-b-bacherle-4022b0216/'}, {'title': 'Instagram', 'url': 'https://instagram.com/tbbacherle'}]"
https://www.bundestag.de/abgeordnete/biografien/B/bachmann_carolin-863318, AfD,"[{'title': 'homepage', 'url': 'https://www.carolinbachmann.de'}, {'title': 'facebook', 'url': 'https://www.facebook.com/CarolinBachmannAfD'}]"
https://www.bundestag.de/abgeordnete/biografien/B/badum_lisa-857148, Bündnis 90/Die Grünen,"[{'title': 'homepage', 'url': 'https://www.lisa-badum.de/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/BadumLisa/'}, {'title': 'twitter', 'url': 'https://twitter.com/badulrichmartha'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/badumlisa/?hl=de'}]"
https://www.bundestag.de/abgeordnete/biografien/B/baehrens_heike-857144, SPD,"[{'title': 'homepage', 'url': 'https://www.heike-baehrens.de'}, {'title': 'facebook', 'url': 'https://www.facebook.com/baehrensmdb'}, {'title': 'Instagram', 'url': 'http://www.instagram.com/heikebaehrens'}]"
https://www.bundestag.de/abgeordnete/biografien/B/baer_dorothee-857110, CDU/CSU,"[{'title': 'homepage', 'url': 'https://dorothee-baer.de/'}]"
https://www.bundestag.de/abgeordnete/biografien/B/baer_karl-860334, Bündnis 90/Die Grünen,"[{'title': 'homepage', 'url': 'https://www.karl-baer.eu'}, {'title': 'twitter', 'url': 'https://twitter.com/karlbaer'}, {'title': 'Instagram', 'url': 'http://unstagram.com/karl.baer'}, {'title': 'facebook', 'url': 'https://www.facebook.com/karlbaerbundestag'}]"
https://www.bundestag.de/abgeordnete/biografien/B/baerbock_annalena-857150, Bündnis 90/Die Grünen,"[{'title': 'homepage', 'url': 'https://www.annalena-baerbock.de'}, {'title': 'facebook', 'url': 'https://www.facebook.com/abaerbock/'}, {'title': 'twitter', 'url': 'https://www.twitter.com/@Abaerbock'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/abaerbock/'}]"
https://www.bundestag.de/abgeordnete/biografien/B/bahr_ulrike-857152, SPD,"[{'title': 'homepage', 'url': 'https://ulrike-bahr.de/'}]"
https://www.bundestag.de/abgeordnete/biografien/B/baldy_daniel-861186, SPD,"[{'title': 'homepage', 'url': 'http://www.daniel-baldy.de'}, {'title': 'twitter', 'url': 'http://twitter.com/baldy_daniel'}, {'title': 'Instagram', 'url': 'http://instagram.com/baldy.daniel'}, {'title': 'facebook', 'url': 'http://facebook.com/baldy.spd'}]"
https://www.bundestag.de/abgeordnete/biografien/B/banaszak_felix-860904, Bündnis 90/Die Grünen,"[{'title': 'felixbanaszak.de', 'url': 'https://www.felixbanaszak.de'}, {'title': 'facebook', 'url': 'https://www.facebook.com/felix.banaszak'}, {'title': 'twitter', 'url': 'https://www.twitter.com/fbanaszak'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/fbanaszak'}]"
https://www.bundestag.de/abgeordnete/biografien/B/baradari_nezahat-857122, SPD,"[{'title': 'homepage', 'url': 'https://www.nezahat-baradari.de/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/Baradari2021'}, {'title': 'Instagram', 'url': 'http://www.instagram.com/nezahatbaradari'}]"
https://www.bundestag.de/abgeordnete/biografien/B/bareiss_thomas-857138, CDU/CSU,"[{'title': 'homepage', 'url': 'http://www.thomas-bareiss.de'}, {'title': 'twitter', 'url': 'https://twitter.com/Thomas_Bareiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor'}, {'title': 'facebook', 'url': 'https://www.facebook.com/thomas.bareiss'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/thomasbareiss/'}]"
https://www.bundestag.de/abgeordnete/biografien/B/bartol_soeren-857132, SPD,"[{'title': 'homepage', 'url': 'http://www.bartol.de/'}, {'title': 'facebook', 'url': 'http://www.facebook.com/soerenbartol'}, {'title': 'twitter', 'url': 'http://www.twitter.com/soerenbartol'}, {'title': 'Instagram', 'url': 'http://www.instagram.com/soeren.bartol/'}, {'title': 'youtube', 'url': 'http://www.youtube.com/channel/UCG3g9VznrnBcFG_jTyyTD0A'}]"
https://www.bundestag.de/abgeordnete/biografien/B/bartsch_dietmar-857154, Die Linke,"[{'title': 'homepage', 'url': 'http://www.dietmar-bartsch.de/'}, {'title': 'facebook', 'url': 'http://www.facebook.com/DietmarBartschMdB/'}, {'title': 'twitter', 'url': 'http://www.twitter.com/DietmarBartsch'}]"
https://www.bundestag.de/abgeordnete/biografien/B/bartz_alexander-920072, SPD,"[{'title': 'facebook', 'url': 'https://www.facebook.com/alexanderbartzSPD/'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/bundesbartz/?hl=de'}]"
https://www.bundestag.de/abgeordnete/biografien/B/bas_baerbel-857120, SPD,"[{'title': 'homepage', 'url': 'https://www.baerbelbas.de/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/baerbel.bas'}, {'title': 'twitter', 'url': 'https://twitter.com/baerbelbas'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/baerbelbas/'}]"
https://www.bundestag.de/abgeordnete/biografien/B/bauer_nicole-857140, FDP,"[{'title': 'homepage', 'url': 'http://fdp-nicole-bauer.de/'}, {'title': 'twitter', 'url': 'http://www.twitter.com/nicole_ae_bauer'}, {'title': 'Instagram', 'url': 'http://www.instagram.com/nicole_ae_bauer'}, {'title': 'facebook', 'url': 'https://www.facebook.com/bauer.nicole.fdp/'}, {'title': 'youtube', 'url': 'https://www.youtube.com/channel/UC1qO8oKMTGwG0iQTP8chFqw'}, {'title': 'linkedin', 'url': 'https://de.linkedin.com/in/nicole-bauer-40474918a'}]"
https://www.bundestag.de/abgeordnete/biografien/B/baum_christina-860218, AfD,"[{'title': 'homepage', 'url': 'https://dr-christina-baum.de'}, {'title': 'facebook', 'url': 'https://www.facebook.com/Dr.Christina.Baum/'}, {'title': 'twitter', 'url': 'https://twitter.com/DrChristinaBaum'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/baum.christina/'}]"
https://www.bundestag.de/abgeordnete/biografien/B/baumann_bernd-857160, AfD,"[{'title': 'homepage', 'url': 'https://www.bernd-baumann.de/'}, {'title': 'twitter', 'url': 'https://twitter.com/BerndBaumannAfD'}, {'title': 'facebook', 'url': 'https://www.facebook.com/Dr.Bernd.Baumann/'}, {'title': 'youtube', 'url': 'https://www.youtube.com/channel/UC0gowAwNIqEOMVSuXdJHJOw'}]"
https://www.bundestag.de/abgeordnete/biografien/B/bayram_canan-857156, Bündnis 90/Die Grünen,"[{'title': 'homepage', 'url': 'http://bayram-gruene.de/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/ErststimmeBayram/'}, {'title': 'twitter', 'url': 'https://twitter.com/LieblingXhain'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/lieblingxhain/'}]"
https://www.bundestag.de/abgeordnete/biografien/B/beck_katharina-860700, Bündnis 90/Die Grünen,"[{'title': 'homepage', 'url': 'https://katharina-beck.de/'}, {'title': 'twitter', 'url': 'https://twitter.com/kathabeck'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/katharina.beck/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/katharinabeck.gruene'}, {'title': 'linkedin', 'url': 'https://www.linkedin.com/in/katharinabmbeck/'}, {'title': 'sonstige Website', 'url': 'https://www.realutopien.de/ueber-uns/'}]"
https://www.bundestag.de/abgeordnete/biografien/B/beckamp_roger-860236, AfD,"[{'title': 'homepage', 'url': 'https://beckamp.info'}, {'title': 'facebook', 'url': 'https://www.facebook.com/roger.beckamp.afd'}, {'title': 'twitter', 'url': 'https://twitter.com/RogerBeckamp'}, {'title': 'Instagram', 'url': 'https://instagram.com/roger.beckamp.afd'}, {'title': 'youtube', 'url': 'https://www.youtube.com/channel/UCUYQypt91KuQPHRgr1k8wlg'}, {'title': 'Telegram', 'url': 'https://t.me/rogerbeckamp'}, {'title': 'tiktok', 'url': 'https://www.tiktok.com/@roger_beckamp'}, {'title': 'Gettr', 'url': 'https://gettr.com/user/rogerbeckampmdb'}]"
https://www.bundestag.de/abgeordnete/biografien/B/becker_holger-861440, SPD,"[{'title': 'homepage', 'url': 'http://holger-becker-spd.de'}, {'title': 'facebook', 'url': 'https://www.facebook.com/dr.holger.becker/'}, {'title': 'linkedin', 'url': 'https://www.linkedin.com/in/holgerbeckerjena'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/dr_holger_becker/?hl=de'}]"
https://www.bundestag.de/abgeordnete/biografien/B/beeck_jens-857142, FDP,"[{'title': 'homepage', 'url': 'http://www.jensbeeck.de/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/jensbeeck.de/'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/jensbeeck/'}, {'title': 'twitter', 'url': 'https://twitter.com/jensbeeck'}, {'title': 'linkedin', 'url': 'https://de.linkedin.com/in/jens-beeck-034589207'}]"
https://www.bundestag.de/abgeordnete/biografien/B/benner_lukas-861470, Bündnis 90/Die Grünen,"[{'title': 'homepage', 'url': 'http://www.lukas-benner.de'}, {'title': 'twitter', 'url': 'https://twitter.com/LukasBenner_'}, {'title': 'facebook', 'url': 'http://www.facebook.com/lukasBennerAc'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/benner_lukas'}]"
https://www.bundestag.de/abgeordnete/biografien/B/berghahn_juergen-861088, SPD,"[{'title': 'homepage', 'url': 'https://juergen-berghahn.de/home.html'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/juergen.berghahn/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/juergen.berghahn/?ref=page_internal'}]"
https://www.bundestag.de/abgeordnete/biografien/B/berghegger_andre-857124, CDU/CSU,"[{'title': 'homepage', 'url': 'http://www.andre-berghegger.de'}, {'title': 'facebook', 'url': 'https://www.facebook.com/BergheggerAndreMdB'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/andre.berghegger/'}]"
https://www.bundestag.de/abgeordnete/biografien/B/bergt_bengt-861374, SPD,"[{'title': 'homepage', 'url': 'http://www.bengtbergt.de'}, {'title': 'facebook', 'url': 'http://www.facebook.com/bengt.bergt'}, {'title': 'twitter', 'url': 'http://twitter.com/Bengtbergt'}, {'title': 'Instagram', 'url': 'http://www.instagram.com/bengtbergt/'}, {'title': 'linkedin', 'url': 'http://www.linkedin.com/in/bengt-bergt/'}]"
https://www.bundestag.de/abgeordnete/biografien/B/bernhard_marc-857114, AfD,"[{'title': 'homepage', 'url': 'http://www.marcbernhard.de'}, {'title': 'facebook', 'url': 'https://www.facebook.com/MarcBernhardAfD'}, {'title': 'twitter', 'url': 'https://twitter.com/MarcBernhardAfD'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/marc_bernhard'}, {'title': 'youtube', 'url': 'https://www.youtube.com/c/marcbernhardAfD'}]"
https://www.bundestag.de/abgeordnete/biografien/B/bernstein_melanie-932930, CDU/CSU,"[{'title': 'homepage', 'url': 'https://www.melanie-bernstein.de/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/melaniebernstein.cdu/?locale=de_DE'}, {'title': 'linkedin', 'url': 'https://de.linkedin.com/in/melanie-bernstein/en?trk=people-guest_people_search-card&original_referer=https%3A%2F%2Fwww.google.com%2F'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/mela.bernstein/?hl=de'}]"
https://www.bundestag.de/abgeordnete/biografien/B/beyer_peter-857108, CDU/CSU,"[{'title': 'homepage', 'url': 'http://www.peter-beyer.info'}, {'title': 'facebook', 'url': 'http://www.facebook.com/PeterBeyerMdB'}, {'title': 'twitter', 'url': 'https://twitter.com/Peter_Beyer'}, {'title': 'linkedin', 'url': 'https://de.linkedin.com/in/peter-beyer-279a02188?trk=people-guest_people_search-card'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/peterbeyerbundestag'}]"
https://www.bundestag.de/abgeordnete/biografien/B/biadacz_marc-857126, CDU/CSU,"[{'title': 'homepage', 'url': 'https://www.marc-biadacz.de/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/MBiadacz/'}, {'title': 'twitter', 'url': 'https://twitter.com/MBiadaczMdB'}, {'title': 'linkedin', 'url': 'https://linkedin.com/in/marc-biadacz-564915193'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/MBiadacz/'}]"
https://www.bundestag.de/abgeordnete/biografien/B/bilger_steffen-857146, CDU/CSU,"[{'title': 'homepage', 'url': 'http://www.steffen-bilger.de'}, {'title': 'twitter', 'url': 'https://twitter.com/steffenbilger'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/steffen.bilger/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/steffen.bilger.cdu/'}]"
https://www.bundestag.de/abgeordnete/biografien/B/birkwald_matthias_w-857206, Die Linke,"[{'title': 'homepage', 'url': 'http://www.matthias-w-birkwald.de'}, {'title': 'facebook', 'url': 'https://www.facebook.com/matthias.w.birkwald'}, {'title': 'twitter', 'url': 'https://twitter.com/MWBirkwald'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/matthiasw.birkwald/?hl=de'}]"
https://www.bundestag.de/abgeordnete/biografien/B/blankenburg_jakob-860872, SPD,"[{'title': 'homepage', 'url': 'https://www.jakobblankenburg.de'}, {'title': 'facebook', 'url': 'https://www.facebook.com/jakobblankenburg.spd'}, {'title': 'twitter', 'url': 'https://twitter.com/jakobbla'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/jakob.blankenburg/'}]"
https://www.bundestag.de/abgeordnete/biografien/B/bleck_andreas-857164, AfD,"[{'title': 'homepage', 'url': 'http://www.andreas-bleck.de/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/AndreasBleckMdB/'}, {'title': 'twitter', 'url': 'https://twitter.com/AndreasBleckMdB'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/andreasbleckmdb'}]"
https://www.bundestag.de/abgeordnete/biografien/B/bochmann_rene-860294, AfD,"[{'title': 'homepage', 'url': 'http://www.rene-bochmann.de'}, {'title': 'facebook', 'url': 'http://www.facebook.com/René-Bochmann-108300184853403'}]"
https://www.bundestag.de/abgeordnete/biografien/B/bodtke_ingo-860300, FDP,"[{'title': 'homepage', 'url': 'http://ingobodtke.de'}, {'title': 'facebook', 'url': 'http://facebook.vom/ingo.bodtke'}, {'title': 'twitter', 'url': 'http://twitter.com/IngoBodtke'}, {'title': 'linkedin', 'url': 'http://linkedin.com/in/ingo-bodtke-251311202/'}, {'title': 'Instagram', 'url': 'http://instagram.com/ingobodtke/'}]"
https://www.bundestag.de/abgeordnete/biografien/B/boehringer_peter-857196, AfD,"[{'title': 'homepage', 'url': 'https://www.pboehringer.de/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/Peter.BoehringerCom'}, {'title': 'twitter', 'url': 'https://twitter.com/PeterBoehringer'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/pboehringer'}, {'title': 'youtube', 'url': 'https://www.youtube.de/pboehringer'}]"
https://www.bundestag.de/abgeordnete/biografien/B/boginski_friedhelm-860302, FDP,"[{'title': 'homepage', 'url': 'https://fboginski.abgeordnete.fdpbt.de/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/friedhelm.boginski'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/friedhelmboginski/'}, {'title': 'youtube', 'url': 'https://www.youtube.com/channel/UCsOyBD9-hyxOB2RhlLSMAqw'}, {'title': 'twitter', 'url': 'https://twitter.com/f_boginski'}]"
https://www.bundestag.de/abgeordnete/biografien/B/bollmann_gereon-860310, AfD,"[{'title': 'homepage', 'url': 'http://www.gereon-bollmann.de'}, {'title': 'facebook', 'url': 'https://www.facebook.com/permalink.php?story_fbid=134886308751905&id=134852682088601'}, {'title': 'Telegram', 'url': 'https://t.me/gereonbollmannmdb'}]"
https://www.bundestag.de/abgeordnete/biografien/B/borchardt_simone-860762, CDU/CSU,"[{'title': 'homepage', 'url': 'https://www.simone-borchardt.de/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/SimoneBorchardt2021'}, {'title': 'linkedin', 'url': 'https://www.linkedin.com/in/simone-borchardt-3759b3154/'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/simone.borchardt/'}, {'title': 'Xing', 'url': 'https://www.xing.com/profile/Simone_Borchardt4/cv'}]"
https://www.bundestag.de/abgeordnete/biografien/B/brand_michael-857184, CDU/CSU,"[{'title': 'homepage', 'url': 'http://www.michael-brand.de/'}, {'title': 'facebook', 'url': 'http://www.facebook.com/menschbrand'}, {'title': 'Instagram', 'url': 'http://www.instagram.com/mensch_brand'}, {'title': 'youtube', 'url': 'http://www.youtube.com/channel/UCmVNQ0tz3MIOMCGwzY4RLRg'}]"
https://www.bundestag.de/abgeordnete/biografien/B/brandenburg_jens-857216, FDP,"[{'title': 'homepage', 'url': 'https://www.jens-brandenburg.de/'}, {'title': 'facebook', 'url': 'https://www.facebook.com/JensBrandenburgFDP/?sw_fnr_id=2343033566&fnr_t=0'}, {'title': 'twitter', 'url': 'https://twitter.com/JBrandenburgFDP'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/jens.brandenburg'}]"
https://www.bundestag.de/abgeordnete/biografien/B/brandenburg_mario-857166, FDP,"[{'title': 'homepage', 'url': 'http://www.mariobrandenburg.de'}, {'title': 'twitter', 'url': 'https://twitter.com/brafdp'}, {'title': 'facebook', 'url': 'http://www.facebook.com/Bra.FDP/'}, {'title': 'linkedin', 'url': 'https://de.linkedin.com/in/mario-brandenburg'}, {'title': 'Instagram', 'url': 'https://www.linkedin.com/in/mario-brandenburg'}, {'title': 'Twitch', 'url': 'https://www.twitch.tv/mariobrandenburg'}]"
https://www.bundestag.de/abgeordnete/biografien/B/brandes_dirk-860314, AfD,"[{'title': 'facebook', 'url': 'https://www.facebook.com/DirkBrandesAfD'}]"
https://www.bundestag.de/abgeordnete/biografien/B/brandl_reinhard-857194, CDU/CSU,"[{'title': 'homepage', 'url': 'http://www.reinhard-brandl.de'}, {'title': 'facebook', 'url': 'https://www.facebook.com/reinhard.brandl'}, {'title': 'twitter', 'url': 'https://www.twitter.com/reinhardbrandl'}, {'title': 'linkedin', 'url': 'https://www.linkedin.com/in/reinhard-brandl-7aa768193'}, {'title': 'Instagram', 'url': 'https://www.instagram.com/reinhard.brandl'}]"
